Unique_ID,org_name,org_url,Twitter_URL,Twitter_handle,earliest_tweet_in_db,number_of_tweets_in_db
1,'Emmanuel Macron',,https://twitter.com/EmmanuelMacron,EmmanuelMacron,,
2,'Elonk Musk',,https://twitter.com/elonmusk,elonmusk,,
3,'Antoine Griezmann',,https://twitter.com/AntoGriezmann,AntoGriezmann,,
4,Presidencia del Perú',,https://twitter.com/presidenciaperu,presidenciaperu,,
5,'Equipe de France',,https://twitter.com/equipedefrance,equipedefrance,,
6,Jeff Bezos',,https://twitter.com/JeffBezos,JeffBezos,,
7,Guillermo Lasso',,https://twitter.com/LassoGuillermo,LassoGuillermo,,
8,Real Madrid C.F.',,https://twitter.com/realmadrid,realmadrid,,
9,FIFA.com',,https://twitter.com/FIFAcom,FIFAcom,,
10,CONMEBOL.com',,https://twitter.com/CONMEBOL,CONMEBOL,,
11,Microsoft',,https://twitter.com/Microsoft,Microsoft,,
12,Chevron',,https://twitter.com/Chevron,Chevron,,
13,FEF',,https://twitter.com/FEFecuador,FEFecuador,,
14,Amazon',,https://twitter.com/amazon,amazon,,
15,NASA',,https://twitter.com/NASA,NASA,,
